"","Mean_Age","SD_Age","Prop_Male","MeanZ","SDZ","MeanB","SDB","MeanP","SDP","chart","EstMeanZ_p_cdf","EstSDZ_p_cdf","EstMeanZ_p_samp","EstSDZ_p_samp","EstMeanZ_p_opt_dist","EstSDZ_p_opt_dist","EstMeanZ_p_opt_samp","EstSDZ_p_opt_samp","ConvergeP","NaiveP","NaiveP_SD","EstMeanZ_b_samp","EstSDZ_b_samp","EstMeanZ_b_opt_dist","EstSDZ_b_opt_dist","EstMeanZ_b_opt_samp","EstSDZ_b_opt_samp","ConvergeB","Num_ZAdjB","NaiveB","NaiveB_SD"
"1",139.561870242306,45.9412756417571,0.52,-2.0998329873573,1.51613982187769,14.4840076853022,2.7502720554112,0.116411152662406,0.204101421209866,"IOTF",-2.12416149468746,1.47296164435051,-2.39878697489556,1.79742944719927,-1.89,1.334,-1.93193415982767,1.31872693029157,"Y",-1.193120190148,-0.827060374308334,-2.10948601221443,2.45818220228806,-1.88010970011161,1.54274279541787,-1.91135129255125,1.52049065494409,"Y",0,-1.44455314524282,-80.4440283378231
"2",136.652708277795,46.1581215119375,0.53,-1.91436115400297,1.58505631764333,14.6814913425082,2.6101695538472,0.151561747491162,0.228893118194679,"IOTF",-1.78376014148267,1.41441158531161,-1.95592809582795,1.60059069164085,-1.658,1.294,-1.65299272268084,1.27969250759175,"Y",-1.0297582688016,-0.742497053458499,-1.90838137654142,2.32357407765005,-1.8955048339607,1.49321516076294,-1.94444221518244,1.49106410748912,"Y",0,-1.31163263205866,-87.7204735791837
"3",132.714295213069,44.7254058211728,0.46,-1.79113626663894,1.44894189044798,14.6781634128796,2.69535103704207,0.149690601550317,0.223126463680437,"IOTF",-1.75143680083249,1.35954194308913,-1.87953437628211,1.55319521706343,-1.582,1.164,-1.6010123304291,1.1943489717895,"Y",-1.03776128932749,-0.76167679641684,-1.95853009911709,2.39266337353475,-1.87520111469065,1.50897705708605,-1.90747916658071,1.55583453761044,"Y",0,-1.18336747998486,-70.2742269393293
"4",131.523033975349,41.7327200613194,0.52,-1.91850227938372,1.42350272562566,14.3773722016211,2.43603230467463,0.132781147953134,0.216975992337116,"IOTF",-1.96382191325949,1.45304719514657,-2.17794211342206,1.6923638848669,-1.774,1.308,-1.77266006263985,1.29034074325806,"Y",-1.1133403200191,-0.782446892408822,-2.12134065041648,2.28281202604342,-2.06558113806003,1.39230499249963,-2.10361479052183,1.37571648108195,"Y",0,-1.39779043214899,-100.172196940031
"5",135.120076633855,42.9176505449948,0.505,-1.75898214040183,1.63663496223148,14.8425447245158,2.88647598618251,0.182154342701007,0.270412348742082,"IOTF",-1.78952970030078,1.70035824944899,-1.89826400603877,1.83561183715031,-1.676,1.484,-1.61534898919304,1.51576595288791,"Y",-0.907185546946601,-0.611566364834185,-1.89001364899938,2.44704407387965,-1.67496941278282,1.55110502032104,-1.73105958628176,1.56312648056242,"Y",0,-1.20657941729915,-74.2266350660938
"6",138.836804675125,45.2306877062904,0.525,-1.89333501856882,1.42581082704452,14.6332634061132,2.23650756707326,0.142632496328852,0.220257557381532,"IOTF",-1.83057127689806,1.39095038950381,-1.9757132044006,1.5868335864036,-1.62,1.216,-1.67150597206179,1.23790812264543,"Y",-1.06856662815771,-0.771323654809424,-1.82872786364397,2.02924108177305,-1.83381237041514,1.25827023918865,-1.82702027231214,1.22084997352113,"Y",0,-1.34366910843748,-113.053171419366
"7",136.216981174923,43.5498054832419,0.495,-1.85160593757828,1.57766965142576,14.7052640944187,2.69295670971229,0.162287823361677,0.245350207864292,"IOTF",-1.80083460282168,1.53031371453525,-1.97586072684093,1.71504790920739,-1.654,1.33,-1.63835475463102,1.3720198852262,"Y",-0.98509858833345,-0.689195233869006,-1.96299957938511,2.37674384043097,-1.93138986249248,1.51584283622461,-1.89236112781966,1.47146201554612,"Y",0,-1.32522590662972,-69.3267319167498
"8",139.819217241914,45.3106432512048,0.48,-1.69892664264177,1.52630710479381,15.102515163963,2.99783200999504,0.181439254526246,0.265270373921626,"IOTF",-1.73784707498558,1.62723376212861,-1.91624958854695,1.79831728543959,-1.56,1.448,-1.5682470376109,1.46185223161015,"Y",-0.90989382043422,-0.627180768722194,-1.76032223742077,2.49511040833241,-1.53744249005898,1.53247305615761,-1.58764039752485,1.45599980475679,"Y",0,-1.08646692408523,-58.5887257138561
"9",135.663270662245,46.5294892221724,0.49,-1.62003985039216,1.45792268329961,14.9427942030513,2.46491859169906,0.182301889937253,0.239862087213171,"IOTF",-1.48420189602539,1.29613229389271,-1.59488184915777,1.43730601809693,-1.448,1.256,-1.45293841431358,1.26474734425874,"Y",-0.906627564973061,-0.706746262732594,-1.62885739033548,2.10565089118775,-1.58980703440752,1.27693468476236,-1.53929030449735,1.20980293571186,"Y",0,-1.18059058585359,-79.5389535694301
"10",138.596033047987,47.6614543834018,0.495,-1.66298341501454,1.46031375397982,15.1201077220693,2.89947180213704,0.166840620059949,0.239273038310003,"IOTF",-1.66861665200797,1.40685768087425,-1.81003263103431,1.57335361854365,-1.572,1.328,-1.56001182627231,1.31546047444674,"Y",-0.966725571720725,-0.708642949133919,-1.74478146727411,2.43897933663064,-1.53154019728396,1.6054354109018,-1.63738595483096,1.60396515934564,"Y",0,-1.07624876873966,-61.7510356689535
"11",137.10252301618,46.2006377767556,0.545,-1.55656099913536,1.57989107502076,15.3491457061537,3.66028784853873,0.195191577065911,0.281156657531567,"IOTF",-1.72161395297886,1.73711519771464,-1.8391868268099,1.86454141441567,-1.658,1.674,-1.65511699853581,1.69468360730247,"Y",-0.858922719049062,-0.579408878028477,-1.812120965872,2.99325845930872,-1.5880416308206,1.76141898702136,-1.56603926900965,1.77146306462115,"Y",0,-0.894430601512981,-49.6648060997962
"12",139.474538683947,42.6519081097212,0.535,-1.55568373922003,1.45961200747023,15.1717349904977,2.79756893246878,0.194701981418158,0.256755141204751,"IOTF",-1.4815132487727,1.40101514727825,-1.57443800428448,1.5266472193246,-1.366,1.35,-1.39782135115258,1.32668929075716,"Y",-0.860698784318335,-0.653381624136105,-1.65682634788194,2.26692322520956,-1.50303479057477,1.4478656400837,-1.52902144893073,1.43549560785182,"Y",0,-1.00070564515887,-78.1969250087339
"13",129.53560888249,45.1286349357193,0.49,-1.52528092516667,1.51362345850025,15.1079869021534,3.21743356859106,0.203608512947529,0.262882501360442,"IOTF",-1.43364590469176,1.41143521828829,-1.54993459196022,1.52057128830853,-1.342,1.398,-1.39006375582356,1.3901274871315,"Y",-0.828800993624849,-0.634484004073829,-1.78156642148071,2.66113641210168,-1.66508003560097,1.86637565401645,-1.69418707528471,1.80649882496695,"Y",0,-0.92764287603231,-52.9282794970189
"14",138.023757129782,44.9316400114216,0.475,-1.44957451012244,1.49097923189166,15.3567897316678,2.98084663168683,0.202577015546122,0.272970718887826,"IOTF",-1.53328991073168,1.54679762695362,-1.6692855570495,1.69113607214741,-1.434,1.394,-1.43175136688471,1.43674100799866,"Y",-0.832451698637595,-0.603852911482816,-1.51569585130622,2.35781959741958,-1.47019399000239,1.5765347378155,-1.48232761464689,1.56987640489259,"Y",0,-0.941566880907589,-59.1165347856378
"15",138.877476288909,46.1129874530873,0.51,-1.32490793409974,1.6094568318615,15.767894823837,3.53274347640164,0.234453293101061,0.303968064265612,"IOTF",-1.45418418794506,1.7410778486358,-1.52300709640955,1.81472394140658,-1.28,1.61,-1.35438939043087,1.64033982933424,"Y",-0.724259255294231,-0.513021718425807,-1.41666043585632,2.63018885175116,-1.31812909676823,1.73739297963896,-1.29536647883232,1.7114562763571,"Y",0,-0.655674916999042,-52.7787502777451
"16",144.311661581914,45.8594889148912,0.555,-1.45385944661975,1.49250244609277,15.6059884482772,3.24716447211036,0.204787010723215,0.27621008111303,"IOTF",-1.53734406578499,1.57335281157792,-1.6018075663744,1.67489703811665,-1.396,1.42,-1.38203058610986,1.42457227343394,"Y",-0.824643492715427,-0.594137483412955,-1.51871522612134,2.50426728769202,-1.40555644563949,1.53667322385483,-1.4081730951045,1.5615310312577,"Y",0,-0.869996257409155,-60.6374082170759
"17",136.160508733476,44.7054452286838,0.455,-1.36596524602864,1.41134106285451,15.3541320244732,2.62626367936989,0.21985159520733,0.270740214816536,"IOTF",-1.32829764174889,1.39825609864967,-1.40077340262229,1.48900737155171,-1.164,1.326,-1.25007426623791,1.3108103699527,"Y",-0.772694520306093,-0.610575827342723,-1.42842267344208,2.10041899603767,-1.41403776002312,1.33729701708107,-1.39543003490909,1.36730503844842,"Y",0,-0.943050952860421,-72.088794123708
"18",134.50848115962,47.4763499921743,0.465,-1.33161466076376,1.60252803878841,15.5425999655482,3.1545043252788,0.243843296916485,0.302743341910708,"IOTF",-1.33950842340686,1.6508988475995,-1.42359632279834,1.68494527098953,-1.258,1.61,-1.24489813614059,1.5297579261343,"Y",-0.693993007930355,-0.516526573913964,-1.40481204523773,2.39335024327584,-1.39670723827298,1.57455011337927,-1.32941801134254,1.55208903152205,"Y",0,-0.686787868248397,-54.6457831159187
"19",140.803813483729,45.2745564689314,0.455,-1.21731913644445,1.49138108630875,15.9195030310731,3.32416291623474,0.252981008858848,0.30002771304783,"IOTF",-1.22935746319061,1.55438554027991,-1.2670236172662,1.60327387290617,-1.16,1.468,-1.14847517934547,1.43885744203248,"Y",-0.66513833439652,-0.52432080877539,-1.22220424689085,2.43320059986627,-1.04324844697852,1.36540473399848,-1.04731917405766,1.36518569871324,"Y",0,-0.640975551909717,-49.7143319119861
"20",144.362482507853,45.17532322276,0.505,-1.28325218717059,1.58125997991517,15.9592949640297,3.38033453028757,0.246591491474298,0.297885665386214,"IOTF",-1.2730224324789,1.56562446659029,-1.33925403311969,1.62227831484648,-1.206,1.442,-1.18442449296073,1.44507507486136,"Y",-0.685255062998762,-0.530491312512481,-1.23853939978943,2.44395917538884,-1.17012953361879,1.61659292618274,-1.10323337907376,1.67331207143195,"Y",0,-0.673296636553087,-56.6860164800286
"21",135.054097303133,45.4398828823848,0.46,-1.09983119979074,1.54769052958521,15.9126455273174,3.36912536491108,0.279003604823332,0.308561435741147,"IOTF",-1.06621829414148,1.52077000752703,-1.10781801029328,1.58211866503599,-1.074,1.444,-1.00372908449389,1.45063100209442,"Y",-0.585804038326131,-0.499932124501169,-1.2161067052969,2.42010672804525,-1.1920430616789,1.4986095512689,-1.08558442746247,1.51931491318295,"Y",0,-0.64448199154194,-48.6554535908144
"22",139.235431480701,44.4659899825083,0.505,-1.22444781618084,1.46221570945052,15.805023404506,3.1300029585674,0.246262526157721,0.291788237812356,"IOTF",-1.23166301206077,1.49022059399513,-1.32169441848236,1.55028212174251,-1.102,1.394,-1.14887157605598,1.39843428854053,"Y",-0.686298249960728,-0.548168111850451,-1.25254246984897,2.32784234581253,-1.20501608297309,1.42993588527238,-1.17985580659642,1.39922025986922,"Y",0,-0.635286310881606,-64.8068790103903
"23",135.307684627441,43.7786436967213,0.55,-1.17337103842956,1.52699154176344,15.9515779840538,4.72371017361795,0.253275657682373,0.30313602401763,"IOTF",-1.2496867088458,1.59368359027104,-1.30043414950494,1.65138548215789,-1.132,1.552,-1.15815697647506,1.53735584478915,"Y",-0.66421718610574,-0.515402124738356,-1.74828350812254,3.53275272921493,-1.20627492193604,1.7504627330948,-1.17136374539695,1.73691683058423,"Y",0,-0.555994236979332,-31.7087645671301
"24",141.643359694853,45.3369637746981,0.45,-0.883219801651985,1.49845297242412,16.5784225310665,3.89756202342393,0.303912505945715,0.323120879725952,"IOTF",-0.962298639430066,1.58626813237386,-1.01942060378147,1.6002679823555,-0.962000000000001,1.502,-0.892038364829489,1.49425403959955,"Y",-0.513180576026152,-0.458989425922936,-0.945911289493077,2.55575554265709,-0.745027920128211,1.50255447822815,-0.738397811908167,1.52725918490891,"Y",0,-0.474680320304389,-38.5520506686602
"25",138.527537288619,44.164612728138,0.46,-1.17126803450494,1.53825031146616,15.9798112901963,3.79334463769129,0.254955574688777,0.288203204175661,"IOTF",-1.13493907398276,1.4022257048654,-1.2111868433507,1.46359426539638,-1.054,1.292,-1.06085713207548,1.31084063287384,"Y",-0.658976048317206,-0.558641504434319,-1.31644482263725,2.65641997768496,-1.09692496151549,1.70474672483678,-1.1240683671864,1.6475167578311,"Y",0,-0.610297268035181,-40.1547622284091
"26",134.75472381888,45.298531863611,0.555,-1.11174636511514,1.49510870363486,15.8883108276394,3.39545645500322,0.269757067535711,0.313981342471329,"IOTF",-1.17941075242075,1.64169424772481,-1.20803792812993,1.67244465449866,-1.154,1.562,-1.11586840407906,1.5396823978404,"Y",-0.613547878313561,-0.484596375931764,-1.25778626410743,2.48777738625151,-1.11560748247218,1.57303225157534,-1.12177599073976,1.52597145021051,"Y",0,-0.475886122163123,-57.1561389539145
"27",138.940038700369,43.8095885750279,0.5,-0.870791264254108,1.40551509610733,16.3297854502883,3.14510135676048,0.31142720141639,0.317264343509543,"IOTF",-0.879951363483505,1.48367312218437,-0.8888439767026,1.49399638246452,-0.732000000000001,1.362,-0.789995820236573,1.37728685051283,"Y",-0.491808958584452,-0.475362403583427,-0.933920267876983,2.1327954017097,-0.830582944213674,1.34990069382501,-0.823521599543056,1.35616305293212,"Y",0,-0.359757662467491,-64.2839322069447
"28",145.215728481417,44.0726782900475,0.52,-0.839713955892753,1.53799164222133,16.8742330514518,4.34387755299231,0.318545533349514,0.32749266880322,"IOTF",-0.881895785484151,1.57937090789585,-0.91828712073094,1.59291319520963,-0.798000000000001,1.554,-0.804109974399152,1.52052479051467,"Y",-0.471769859537272,-0.446847271236034,-0.994015585169654,2.80087012547583,-0.580146047876553,1.39392630581485,-0.675843149660894,1.37169104033887,"Y",0,-0.21208960886839,-36.8789398345359
"29",146.062904852838,43.3034369886755,0.53,-0.711661581506841,1.62008566264511,17.2703115819689,5.8665521543106,0.355205491120513,0.346491491343141,"IOTF",-0.729807375049147,1.6921245689406,-0.7347330175262,1.66064890702393,-0.66,1.61,-0.708111417215859,1.61530891852521,"Y",-0.371304183647247,-0.394810178323081,-1.30193345073451,3.836369951693,-0.671774365628644,1.77240550469342,-0.670849743003281,1.81741346500412,"Y",0,-0.0315564752261519,-21.3429567166744
"30",143.150212283791,42.3308804290396,0.51,-0.841866799926635,1.4563237260829,16.5528519855804,3.243545301698,0.317715322096212,0.32172817459094,"IOTF",-0.859422242129994,1.51197981483557,-0.89439160200275,1.5457455226678,-0.822000000000001,1.414,-0.815302509635053,1.44322765382156,"Y",-0.474097131302765,-0.462871678362625,-0.805650473628843,2.14529854963568,-0.774529109426373,1.32610345889183,-0.744609443548322,1.31585077816956,"Y",0,-0.366707190392082,-60.7505851870471
"31",133.636129229693,46.2505130936774,0.45,-0.866084767887985,1.52606052059963,16.3608307825415,3.72496307480221,0.317540894540437,0.328989962935523,"IOTF",-0.896556962243426,1.60275522630747,-0.934901333520558,1.590472513281,-0.822000000000001,1.55,-0.856836603892742,1.53553745951001,"Y",-0.474586417751526,-0.442703893499207,-0.989212185856412,2.57195365747496,-0.935014686558099,1.62522491910031,-0.862567242585906,1.65846209920271,"Y",0,-0.275970824986958,-41.6457023552422
"32",144.611506893123,43.5452147020316,0.485,-0.703749378003004,1.40137798875165,16.9519670193821,3.59273825516292,0.343228793389066,0.31282383833985,"IOTF",-0.674119422347129,1.33748368565656,-0.682903332105818,1.34726138827273,-0.654,1.27,-0.624321586894895,1.26247028470246,"Y",-0.40366703087284,-0.487861880637332,-0.701139802412216,2.23858647954055,-0.538718878501962,1.33560732354871,-0.504313892996597,1.3338815797032,"Y",0,-0.303126446142872,-43.9480608817754
"33",141.186618992072,46.0408699070054,0.505,-0.787714314663047,1.48278571073442,16.7231110547845,3.71276790233022,0.33159817899444,0.327560696480984,"IOTF",-0.796330475844009,1.53085015316049,-0.833653687096233,1.53461696285451,-0.800000000000001,1.462,-0.750596998495566,1.49069232978619,"Y",-0.435504383385101,-0.446658856168986,-0.843133738317962,2.41563528782578,-0.611178456424716,1.46356511946971,-0.698803712821049,1.4187162644817,"Y",0,-0.283852387790988,-48.3660854999939
"34",135.64931865097,45.7802837063867,0.49,-0.675200642241657,1.50912399294944,16.6847488166202,3.51575867514066,0.351569882000294,0.329526525290391,"IOTF",-0.683886710766318,1.49013433836129,-0.712820521874648,1.48369835904625,-0.584,1.41,-0.619870209792738,1.39835863283661,"Y",-0.381085557144683,-0.441220946240134,-0.763564017582424,2.32812178202519,-0.740489484686244,1.32273559054043,-0.684384906845779,1.37675795800992,"Y",0,-0.271762521820728,-45.431592468376
"35",140.595776478262,47.1602166167586,0.505,-0.675813611068121,1.61316608516166,17.2757604292519,5.00096883375571,0.346621902979555,0.339253429195987,"IOTF",-0.752485996397885,1.62454084039184,-0.755815439286687,1.60943748258799,-0.690000000000001,1.522,-0.687942364477939,1.52343925769706,"Y",-0.394456813075615,-0.414501514127011,-0.825085305629145,3.097300671382,-0.480158036926578,1.67934096864906,-0.437524169176388,1.65188311208004,"Y",0,0.0834229680614293,-28.583089519268
